week,meal_id,category,cuisine,forecast_method,forecast,actual_demand,order_qty,sales,stockout_units,waste_units,ending_inventory,unit_cost,selling_price,emailer_for_promotion,homepage_featured
136,1062,Beverages,Italian,rf_forecast,33859.2,33761,40214,33761,0,0,6453,68.39,170.98,0,0
136,1109,Rice Bowl,Indian,rf_forecast,40201.1,36487,55809,36487,0,0,19322,107.74,269.36,0,0
136,1727,Rice Bowl,Indian,rf_forecast,110265.5,72350,119226,72350,0,0,46876,166.04,415.09,1,1
136,1754,Sandwich,Italian,rf_forecast,42340.5,40915,59902,40915,0,0,18987,111.77,279.42,0,1
136,1885,Beverages,Thai,rf_forecast,55158.9,52972,62786,52972,0,0,9814,50.17,125.43,0,1
136,1971,Sandwich,Italian,rf_forecast,22505.8,20505,34958,20505,0,0,14453,112.73,281.82,0,1
136,1993,Beverages,Thai,rf_forecast,27061.0,39461,32916,32916,6545,0,0,50.27,125.67,0,1
136,2290,Rice Bowl,Indian,rf_forecast,51061.0,44702,73639,44702,0,0,28937,109.33,273.31,0,1
136,2707,Beverages,Italian,rf_forecast,37611.0,39424,45743,39424,0,0,6319,82.82,207.04,0,0
136,2826,Sandwich,Italian,rf_forecast,30727.2,31458,41831,31458,0,0,10373,120.32,300.8,0,0
137,1062,Beverages,Italian,rf_forecast,33882.5,30233,40237,30233,0,0,16457,68.39,170.98,0,0
137,1109,Rice Bowl,Indian,rf_forecast,38236.2,33417,53844,33417,0,0,39749,107.74,269.36,0,1
137,1727,Rice Bowl,Indian,rf_forecast,55173.0,61045,64133,61045,0,0,49964,166.04,415.09,0,1
137,1754,Sandwich,Italian,rf_forecast,38030.6,33164,55592,33164,0,0,41415,111.77,279.42,0,1
137,1885,Beverages,Thai,rf_forecast,51524.3,53325,59152,53325,0,0,15641,50.17,125.43,0,1
137,1971,Sandwich,Italian,rf_forecast,21820.8,9644,34273,9644,0,0,39082,112.73,281.82,0,0
137,1993,Beverages,Thai,rf_forecast,38048.0,38634,43903,38634,0,0,5269,50.27,125.67,0,1
137,2290,Rice Bowl,Indian,rf_forecast,47960.0,37892,70538,37892,0,0,61583,109.33,273.31,0,1
137,2707,Beverages,Italian,rf_forecast,34550.0,35301,42682,35301,0,0,13700,82.82,207.04,0,0
137,2826,Sandwich,Italian,rf_forecast,31013.8,33288,42117,33288,0,0,19202,120.32,300.8,0,1
138,1062,Beverages,Italian,rf_forecast,30142.1,26498,36497,26498,0,0,26456,68.39,170.98,0,0
138,1109,Rice Bowl,Indian,rf_forecast,35189.2,42355,50797,42355,0,0,48191,107.74,269.36,0,1
138,1727,Rice Bowl,Indian,rf_forecast,39599.6,30977,48560,30977,0,0,67547,166.04,415.09,0,1
138,1754,Sandwich,Italian,rf_forecast,33229.9,30552,50791,30552,0,0,61654,111.77,279.42,0,1
138,1885,Beverages,Thai,rf_forecast,53871.1,50141,61499,50141,0,0,26999,50.17,125.43,0,1
138,1971,Sandwich,Italian,rf_forecast,17552.0,9640,30004,9640,0,4809,54637,112.73,281.82,0,1
138,1993,Beverages,Thai,rf_forecast,36670.0,38591,42525,38591,0,0,9203,50.27,125.67,0,1
138,2290,Rice Bowl,Indian,rf_forecast,42128.7,52348,64707,52348,0,0,73942,109.33,273.31,0,1
138,2707,Beverages,Italian,rf_forecast,34054.9,33722,42187,33722,0,0,22165,82.82,207.04,0,0
138,2826,Sandwich,Italian,rf_forecast,31954.7,33121,43058,33121,0,0,29139,120.32,300.8,0,1
139,1062,Beverages,Italian,rf_forecast,26678.9,31280,33034,31280,0,0,28210,68.39,170.98,0,0
139,1109,Rice Bowl,Indian,rf_forecast,39177.9,42346,54786,42346,0,0,60631,107.74,269.36,0,1
139,1727,Rice Bowl,Indian,rf_forecast,32445.6,29131,41406,29131,0,18987,60835,166.04,415.09,0,1
139,1754,Sandwich,Italian,rf_forecast,31094.8,43699,48656,43699,0,10863,55748,111.77,279.42,0,0
139,1885,Beverages,Thai,rf_forecast,52923.7,54544,60551,54544,0,0,33006,50.17,125.43,0,1
139,1971,Sandwich,Italian,rf_forecast,16493.3,19324,28946,19324,0,24633,39626,112.73,281.82,0,1
139,1993,Beverages,Thai,rf_forecast,33519.0,43602,39374,43602,0,0,4975,50.27,125.67,0,1
139,2290,Rice Bowl,Indian,rf_forecast,50232.1,53231,72810,53231,0,9235,84286,109.33,273.31,0,0
139,2707,Beverages,Italian,rf_forecast,31193.5,37271,39326,37271,0,0,24220,82.82,207.04,0,0
139,2826,Sandwich,Italian,rf_forecast,32002.3,37137,43106,37137,0,0,35108,120.32,300.8,0,1
140,1062,Beverages,Italian,rf_forecast,31089.0,33077,37444,33077,0,0,32577,68.39,170.98,0,0
140,1109,Rice Bowl,Indian,rf_forecast,39661.9,45331,55270,45331,0,5845,64725,107.74,269.36,0,1
140,1727,Rice Bowl,Indian,rf_forecast,33764.4,25698,42724,25698,0,19429,58432,166.04,415.09,0,1
140,1754,Sandwich,Italian,rf_forecast,37910.9,46425,55472,46425,0,7092,57703,111.77,279.42,0,0
140,1885,Beverages,Thai,rf_forecast,54262.2,60845,61890,60845,0,0,34051,50.17,125.43,0,1
140,1971,Sandwich,Italian,rf_forecast,18760.3,19716,31213,19716,0,10680,40443,112.73,281.82,0,0
140,1993,Beverages,Thai,rf_forecast,41705.0,44578,47560,44578,0,0,7957,50.27,125.67,0,1
140,2290,Rice Bowl,Indian,rf_forecast,50547.9,55255,73126,55255,0,11476,90681,109.33,273.31,0,1
140,2707,Beverages,Italian,rf_forecast,33269.6,38684,41402,38684,0,0,26938,82.82,207.04,0,0
140,2826,Sandwich,Italian,rf_forecast,31649.2,31489,42753,31489,0,0,46372,120.32,300.8,0,1
141,1062,Beverages,Italian,rf_forecast,31583.5,32729,37938,32729,0,0,37786,68.39,170.98,0,0
141,1109,Rice Bowl,Indian,rf_forecast,40560.8,36680,56169,36680,0,9455,74759,107.74,269.36,0,1
141,1727,Rice Bowl,Indian,rf_forecast,26690.5,21757,35651,21757,0,15708,56618,166.04,415.09,0,1
141,1754,Sandwich,Italian,rf_forecast,39266.3,39735,56828,39735,0,2231,72565,111.77,279.42,0,0
141,1885,Beverages,Thai,rf_forecast,55335.0,55566,62963,55566,0,0,41448,50.17,125.43,0,1
141,1971,Sandwich,Italian,rf_forecast,17761.6,15290,30214,15290,0,9230,46137,112.73,281.82,0,0
141,1993,Beverages,Thai,rf_forecast,41670.1,41402,47525,41402,0,0,14080,50.27,125.67,0,1
141,2290,Rice Bowl,Indian,rf_forecast,50219.6,51699,72797,51699,0,17555,94224,109.33,273.31,0,0
141,2707,Beverages,Italian,rf_forecast,33693.5,38249,41826,38249,0,0,30515,82.82,207.04,0,0
141,2826,Sandwich,Italian,rf_forecast,30354.3,29613,41458,29613,0,3619,54598,120.32,300.8,0,1
142,1062,Beverages,Italian,rf_forecast,31794.0,34990,38149,34990,0,0,40945,68.39,170.98,0,0
142,1109,Rice Bowl,Indian,rf_forecast,35641.8,35948,51250,35948,0,18590,71471,107.74,269.36,0,1
142,1727,Rice Bowl,Indian,rf_forecast,25318.2,22456,34278,22456,0,20967,47473,166.04,415.09,0,1
142,1754,Sandwich,Italian,rf_forecast,35471.8,37754,53033,37754,0,15737,72107,111.77,279.42,0,0
142,1885,Beverages,Thai,rf_forecast,54432.5,56154,62060,56154,0,0,47354,50.17,125.43,0,1
142,1971,Sandwich,Italian,rf_forecast,16724.9,15135,29177,15135,0,15923,44256,112.73,281.82,0,0
142,1993,Beverages,Thai,rf_forecast,38374.8,40337,44230,40337,0,0,17973,50.27,125.67,0,1
142,2290,Rice Bowl,Indian,rf_forecast,50042.0,48628,72620,48628,0,21427,96789,109.33,273.31,0,0
142,2707,Beverages,Italian,rf_forecast,33366.0,36462,41498,36462,0,0,35551,82.82,207.04,0,0
142,2826,Sandwich,Italian,rf_forecast,29591.3,30088,40695,30088,0,13140,52065,120.32,300.8,0,1
143,1062,Beverages,Italian,rf_forecast,31653.4,37333,38008,37333,0,2796,38824,68.39,170.98,0,0
143,1109,Rice Bowl,Indian,rf_forecast,35634.4,45787,51242,45787,0,20221,56705,107.74,269.36,0,1
143,1727,Rice Bowl,Indian,rf_forecast,25270.2,27368,34230,27368,0,13195,41140,166.04,415.09,0,1
143,1754,Sandwich,Italian,rf_forecast,35963.8,42616,53525,42616,0,19074,63942,111.77,279.42,0,0
143,1885,Beverages,Thai,rf_forecast,56073.1,57549,63701,57549,0,0,53506,50.17,125.43,0,1
143,1971,Sandwich,Italian,rf_forecast,16656.7,16990,29109,16990,0,15079,41296,112.73,281.82,0,0
143,1993,Beverages,Thai,rf_forecast,38543.8,40960,44399,40960,0,0,21412,50.27,125.67,0,1
143,2290,Rice Bowl,Indian,rf_forecast,47713.9,54596,70292,54596,0,24169,88316,109.33,273.31,0,0
143,2707,Beverages,Italian,rf_forecast,34161.8,38609,42294,38609,0,0,39236,82.82,207.04,0,0
143,2826,Sandwich,Italian,rf_forecast,30985.7,35141,42089,35141,0,11370,47643,120.32,300.8,0,1
144,1062,Beverages,Italian,rf_forecast,31708.5,35981,38063,35981,0,816,40090,68.39,170.98,0,0
144,1109,Rice Bowl,Indian,rf_forecast,41043.0,43042,56651,43042,0,5463,64851,107.74,269.36,0,1
144,1727,Rice Bowl,Indian,rf_forecast,26807.2,23137,35767,23137,0,6910,46860,166.04,415.09,0,1
144,1754,Sandwich,Italian,rf_forecast,38083.0,45377,55644,45377,0,10417,63792,111.77,279.42,0,0
144,1885,Beverages,Thai,rf_forecast,56219.5,56871,63847,56871,0,0,60482,50.17,125.43,0,1
144,1971,Sandwich,Italian,rf_forecast,16553.7,18962,29006,18962,0,12187,39153,112.73,281.82,0,0
144,1993,Beverages,Thai,rf_forecast,40211.0,42319,46066,42319,0,0,25159,50.27,125.67,0,1
144,2290,Rice Bowl,Indian,rf_forecast,51790.1,52756,74368,52756,0,18024,91904,109.33,273.31,0,0
144,2707,Beverages,Italian,rf_forecast,33672.8,40484,41805,40484,0,0,40557,82.82,207.04,0,0
144,2826,Sandwich,Italian,rf_forecast,32119.4,28724,43223,28724,0,5554,56588,120.32,300.8,0,1
145,1062,Beverages,Italian,rf_forecast,35385.2,36144,41740,36144,0,2027,43659,68.39,170.98,1,1
145,1109,Rice Bowl,Indian,rf_forecast,38741.1,42568,54349,42568,0,8200,68432,107.74,269.36,0,1
145,1727,Rice Bowl,Indian,rf_forecast,24311.9,22147,33272,22147,0,11093,46892,166.04,415.09,0,1
145,1754,Sandwich,Italian,rf_forecast,39905.2,42629,57466,42629,0,8148,70481,111.77,279.42,0,0
145,1885,Beverages,Thai,rf_forecast,56236.7,54905,63864,54905,0,0,69441,50.17,125.43,0,1
145,1971,Sandwich,Italian,rf_forecast,18075.9,16343,30528,16343,0,10147,43191,112.73,281.82,0,0
145,1993,Beverages,Thai,rf_forecast,40489.7,18377,46345,18377,0,0,53127,50.27,125.67,0,1
145,2290,Rice Bowl,Indian,rf_forecast,49189.2,28468,71767,28468,0,17536,117667,109.33,273.31,0,0
145,2707,Beverages,Italian,rf_forecast,37687.1,39833,45819,39833,0,0,46543,82.82,207.04,0,0
145,2826,Sandwich,Italian,rf_forecast,29507.5,25706,40611,25706,0,13365,58128,120.32,300.8,0,0
