date,item_id,item_name,day_of_week,is_weekend,demand,unit_cost,selling_price,holding_cost,shortage_cost,shelf_life_days,lead_time_days
2025-01-01,0,Burger,2,0,36,5.2,11.0,0.39,1.92,4,1
2025-01-02,0,Burger,3,0,48,5.2,11.0,0.39,1.92,4,1
2025-01-03,0,Burger,4,0,57,5.2,11.0,0.39,1.92,4,1
2025-01-04,0,Burger,5,1,46,5.2,11.0,0.39,1.92,4,1
2025-01-05,0,Burger,6,1,46,5.2,11.0,0.39,1.92,4,1
2025-01-06,0,Burger,0,0,40,5.2,11.0,0.39,1.92,4,1
2025-01-07,0,Burger,1,0,46,5.2,11.0,0.39,1.92,4,1
2025-01-08,0,Burger,2,0,50,5.2,11.0,0.39,1.92,4,1
2025-01-09,0,Burger,3,0,39,5.2,11.0,0.39,1.92,4,1
2025-01-10,0,Burger,4,0,57,5.2,11.0,0.39,1.92,4,1
2025-01-11,0,Burger,5,1,62,5.2,11.0,0.39,1.92,4,1
2025-01-12,0,Burger,6,1,54,5.2,11.0,0.39,1.92,4,1
2025-01-13,0,Burger,0,0,46,5.2,11.0,0.39,1.92,4,1
2025-01-14,0,Burger,1,0,44,5.2,11.0,0.39,1.92,4,1
2025-01-15,0,Burger,2,0,39,5.2,11.0,0.39,1.92,4,1
2025-01-16,0,Burger,3,0,47,5.2,11.0,0.39,1.92,4,1
2025-01-17,0,Burger,4,0,47,5.2,11.0,0.39,1.92,4,1
2025-01-18,0,Burger,5,1,64,5.2,11.0,0.39,1.92,4,1
2025-01-19,0,Burger,6,1,54,5.2,11.0,0.39,1.92,4,1
2025-01-20,0,Burger,0,0,39,5.2,11.0,0.39,1.92,4,1
2025-01-21,0,Burger,1,0,38,5.2,11.0,0.39,1.92,4,1
2025-01-22,0,Burger,2,0,51,5.2,11.0,0.39,1.92,4,1
2025-01-23,0,Burger,3,0,44,5.2,11.0,0.39,1.92,4,1
2025-01-24,0,Burger,4,0,51,5.2,11.0,0.39,1.92,4,1
2025-01-25,0,Burger,5,1,58,5.2,11.0,0.39,1.92,4,1
2025-01-26,0,Burger,6,1,58,5.2,11.0,0.39,1.92,4,1
2025-01-27,0,Burger,0,0,43,5.2,11.0,0.39,1.92,4,1
2025-01-28,0,Burger,1,0,52,5.2,11.0,0.39,1.92,4,1
2025-01-29,0,Burger,2,0,55,5.2,11.0,0.39,1.92,4,1
2025-01-30,0,Burger,3,0,58,5.2,11.0,0.39,1.92,4,1
2025-01-31,0,Burger,4,0,52,5.2,11.0,0.39,1.92,4,1
2025-02-01,0,Burger,5,1,57,5.2,11.0,0.39,1.92,4,1
2025-02-02,0,Burger,6,1,51,5.2,11.0,0.39,1.92,4,1
2025-02-03,0,Burger,0,0,45,5.2,11.0,0.39,1.92,4,1
2025-02-04,0,Burger,1,0,49,5.2,11.0,0.39,1.92,4,1
2025-02-05,0,Burger,2,0,44,5.2,11.0,0.39,1.92,4,1
2025-02-06,0,Burger,3,0,42,5.2,11.0,0.39,1.92,4,1
2025-02-07,0,Burger,4,0,50,5.2,11.0,0.39,1.92,4,1
2025-02-08,0,Burger,5,1,65,5.2,11.0,0.39,1.92,4,1
2025-02-09,0,Burger,6,1,60,5.2,11.0,0.39,1.92,4,1
2025-02-10,0,Burger,0,0,45,5.2,11.0,0.39,1.92,4,1
2025-02-11,0,Burger,1,0,39,5.2,11.0,0.39,1.92,4,1
2025-02-12,0,Burger,2,0,47,5.2,11.0,0.39,1.92,4,1
2025-02-13,0,Burger,3,0,48,5.2,11.0,0.39,1.92,4,1
2025-02-14,0,Burger,4,0,56,5.2,11.0,0.39,1.92,4,1
2025-02-15,0,Burger,5,1,67,5.2,11.0,0.39,1.92,4,1
2025-02-16,0,Burger,6,1,58,5.2,11.0,0.39,1.92,4,1
2025-02-17,0,Burger,0,0,46,5.2,11.0,0.39,1.92,4,1
2025-02-18,0,Burger,1,0,52,5.2,11.0,0.39,1.92,4,1
2025-02-19,0,Burger,2,0,56,5.2,11.0,0.39,1.92,4,1
2025-02-20,0,Burger,3,0,51,5.2,11.0,0.39,1.92,4,1
2025-02-21,0,Burger,4,0,48,5.2,11.0,0.39,1.92,4,1
2025-02-22,0,Burger,5,1,61,5.2,11.0,0.39,1.92,4,1
2025-02-23,0,Burger,6,1,55,5.2,11.0,0.39,1.92,4,1
2025-02-24,0,Burger,0,0,39,5.2,11.0,0.39,1.92,4,1
2025-02-25,0,Burger,1,0,43,5.2,11.0,0.39,1.92,4,1
2025-02-26,0,Burger,2,0,55,5.2,11.0,0.39,1.92,4,1
2025-02-27,0,Burger,3,0,43,5.2,11.0,0.39,1.92,4,1
2025-02-28,0,Burger,4,0,62,5.2,11.0,0.39,1.92,4,1
2025-03-01,0,Burger,5,1,54,5.2,11.0,0.39,1.92,4,1
2025-03-02,0,Burger,6,1,56,5.2,11.0,0.39,1.92,4,1
2025-03-03,0,Burger,0,0,44,5.2,11.0,0.39,1.92,4,1
2025-03-04,0,Burger,1,0,48,5.2,11.0,0.39,1.92,4,1
2025-03-05,0,Burger,2,0,51,5.2,11.0,0.39,1.92,4,1
2025-03-06,0,Burger,3,0,53,5.2,11.0,0.39,1.92,4,1
2025-03-07,0,Burger,4,0,55,5.2,11.0,0.39,1.92,4,1
2025-03-08,0,Burger,5,1,61,5.2,11.0,0.39,1.92,4,1
2025-03-09,0,Burger,6,1,64,5.2,11.0,0.39,1.92,4,1
2025-03-10,0,Burger,0,0,43,5.2,11.0,0.39,1.92,4,1
2025-03-11,0,Burger,1,0,46,5.2,11.0,0.39,1.92,4,1
2025-03-12,0,Burger,2,0,50,5.2,11.0,0.39,1.92,4,1
2025-03-13,0,Burger,3,0,44,5.2,11.0,0.39,1.92,4,1
2025-03-14,0,Burger,4,0,61,5.2,11.0,0.39,1.92,4,1
2025-03-15,0,Burger,5,1,65,5.2,11.0,0.39,1.92,4,1
2025-03-16,0,Burger,6,1,63,5.2,11.0,0.39,1.92,4,1
2025-03-17,0,Burger,0,0,42,5.2,11.0,0.39,1.92,4,1
2025-03-18,0,Burger,1,0,47,5.2,11.0,0.39,1.92,4,1
2025-03-19,0,Burger,2,0,52,5.2,11.0,0.39,1.92,4,1
2025-03-20,0,Burger,3,0,48,5.2,11.0,0.39,1.92,4,1
2025-03-21,0,Burger,4,0,61,5.2,11.0,0.39,1.92,4,1
2025-03-22,0,Burger,5,1,62,5.2,11.0,0.39,1.92,4,1
2025-03-23,0,Burger,6,1,58,5.2,11.0,0.39,1.92,4,1
2025-03-24,0,Burger,0,0,43,5.2,11.0,0.39,1.92,4,1
2025-03-25,0,Burger,1,0,39,5.2,11.0,0.39,1.92,4,1
2025-03-26,0,Burger,2,0,51,5.2,11.0,0.39,1.92,4,1
2025-03-27,0,Burger,3,0,48,5.2,11.0,0.39,1.92,4,1
2025-03-28,0,Burger,4,0,59,5.2,11.0,0.39,1.92,4,1
2025-03-29,0,Burger,5,1,69,5.2,11.0,0.39,1.92,4,1
2025-03-30,0,Burger,6,1,63,5.2,11.0,0.39,1.92,4,1
2025-03-31,0,Burger,0,0,49,5.2,11.0,0.39,1.92,4,1
2025-01-01,1,Pizza,2,0,34,5.1,10.75,0.38,1.91,4,1
2025-01-02,1,Pizza,3,0,37,5.1,10.75,0.38,1.91,4,1
2025-01-03,1,Pizza,4,0,35,5.1,10.75,0.38,1.91,4,1
2025-01-04,1,Pizza,5,1,41,5.1,10.75,0.38,1.91,4,1
2025-01-05,1,Pizza,6,1,38,5.1,10.75,0.38,1.91,4,1
2025-01-06,1,Pizza,0,0,28,5.1,10.75,0.38,1.91,4,1
2025-01-07,1,Pizza,1,0,43,5.1,10.75,0.38,1.91,4,1
2025-01-08,1,Pizza,2,0,38,5.1,10.75,0.38,1.91,4,1
2025-01-09,1,Pizza,3,0,36,5.1,10.75,0.38,1.91,4,1
2025-01-10,1,Pizza,4,0,51,5.1,10.75,0.38,1.91,4,1
2025-01-11,1,Pizza,5,1,47,5.1,10.75,0.38,1.91,4,1
